"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","Score unique EF - Agriculture","Score unique EF - Transformation","Score unique EF - Emballage","Score unique EF - Transport","Score unique EF - Supermarché et distribution","Score unique EF - Consommation","Changement climatique - Agriculture","Changement climatique - Transformation","Changement climatique - Emballage","Changement climatique - Transport","Changement climatique - Supermarché et distribution","Changement climatique - Consommation","Appauvrissement de la couche d'ozone - Agriculture","Appauvrissement de la couche d'ozone - Transformation","Appauvrissement de la couche d'ozone - Emballage","Appauvrissement de la couche d'ozone - Transport","Appauvrissement de la couche d'ozone - Supermarché et distribution","Appauvrissement de la couche d'ozone - Consommation","Rayonnements ionisants - Agriculture","Rayonnements ionisants - Transformation","Rayonnements ionisants - Emballage","Rayonnements ionisants - Transport","Rayonnements ionisants - Supermarché et distribution","Rayonnements ionisants - Consommation","Formation photochimique d'ozone - Agriculture","Formation photochimique d'ozone - Transformation","Formation photochimique d'ozone - Emballage","Formation photochimique d'ozone - Transport","Formation photochimique d'ozone - Supermarché et distribution","Formation photochimique d'ozone - Consommation","Particules fines - Agriculture","Particules fines - Transformation","Particules fines - Emballage","Particules fines - Transport","Particules fines - Supermarché et distribution","Particules fines - Consommation","Effets toxicologiques sur la santé humaine   substances non-cancérogènes - Agriculture","Effets toxicologiques sur la santé humaine   substances non-cancérogènes - Transformation","Effets toxicologiques sur la santé humaine   substances non-cancérogènes - Emballage","Effets toxicologiques sur la santé humaine   substances non-cancérogènes - Transport","Effets toxicologiques sur la santé humaine   substances non-cancérogènes - Supermarché et distribution","Effets toxicologiques sur la santé humaine   substances non-cancérogènes - Consommation","Effets toxicologiques sur la santé humaine   substances cancérogènes - Agriculture","Effets toxicologiques sur la santé humaine   substances cancérogènes - Transformation","Effets toxicologiques sur la santé humaine   substances cancérogènes - Emballage","Effets toxicologiques sur la santé humaine   substances cancérogènes - Transport","Effets toxicologiques sur la santé humaine   substances cancérogènes - Supermarché et distribution","Effets toxicologiques sur la santé humaine   substances cancérogènes - Consommation","Acidification terrestre et eaux douces - Agriculture","Acidification terrestre et eaux douces - Transformation","Acidification terrestre et eaux douces - Emballage","Acidification terrestre et eaux douces - Transport","Acidification terrestre et eaux douces - Supermarché et distribution","Acidification terrestre et eaux douces - Consommation","Eutrophisation eaux douces - Agriculture","Eutrophisation eaux douces - Transformation","Eutrophisation eaux douces - Emballage","Eutrophisation eaux douces - Transport","Eutrophisation eaux douces - Supermarché et distribution","Eutrophisation eaux douces - Consommation","Eutrophisation marine  - Agriculture","Eutrophisation marine  - Transformation","Eutrophisation marine  - Emballage","Eutrophisation marine  - Transport","Eutrophisation marine  - Supermarché et distribution","Eutrophisation marine  - Consommation","Eutrophisation terrestre - Agriculture","Eutrophisation terrestre - Transformation","Eutrophisation terrestre - Emballage","Eutrophisation terrestre - Transport","Eutrophisation terrestre - Supermarché et distribution","Eutrophisation terrestre - Consommation","Écotoxicité pour écosystèmes aquatiques d'eau douce - Agriculture","Écotoxicité pour écosystèmes aquatiques d'eau douce - Transformation","Écotoxicité pour écosystèmes aquatiques d'eau douce - Emballage","Écotoxicité pour écosystèmes aquatiques d'eau douce - Transport","Écotoxicité pour écosystèmes aquatiques d'eau douce - Supermarché et distribution","Écotoxicité pour écosystèmes aquatiques d'eau douce - Consommation","Utilisation du sol - Agriculture","Utilisation du sol - Transformation","Utilisation du sol - Emballage","Utilisation du sol - Transport","Utilisation du sol - Supermarché et distribution","Utilisation du sol - Consommation","Épuisement des ressources eau - Agriculture","Épuisement des ressources eau - Transformation","Épuisement des ressources eau - Emballage","Épuisement des ressources eau - Transport","Épuisement des ressources eau - Supermarché et distribution","Épuisement des ressources eau - Consommation","Épuisement des ressources énergétiques - Agriculture","Épuisement des ressources énergétiques - Transformation","Épuisement des ressources énergétiques - Emballage","Épuisement des ressources énergétiques - Transport","Épuisement des ressources énergétiques - Supermarché et distribution","Épuisement des ressources énergétiques - Consommation","Épuisement des ressources minéraux - Agriculture","Épuisement des ressources minéraux - Transformation","Épuisement des ressources minéraux - Emballage","Épuisement des ressources minéraux - Transport","Épuisement des ressources minéraux - Supermarché et distribution","Épuisement des ressources minéraux - Consommation","DQR - Global","DQR - P","DQR - TiR","DQR - GR","DQR - TeR"," id"," i"," rand"
"11084","11084","aides culinaires et ingrédients divers","algues","Agar (algue), cru","Seaweed, agar, raw","0.65063255","0.49968213","0.024314853","0.04606386899999999","0.0049376335","0.00039431325","4.5528129","1.4896054","0.28987796","0.38352982","0.020039066","0.0099403359","7.6777591e-07","1.5900022e-07","7.1425768e-09","8.1257897e-08","1.899133e-09","7.1324398e-11","0.93885018","9.982356","0.030019486","0.02665928","0.07211511","2.2187683e-05","0.028507867","0.003942796","0.0008125936","0.005549621","5.2372611e-05","1.0086319e-05","6.0554345e-07","8.2715577e-08","7.8561156e-09","2.0164364e-08","9.3823808e-10","7.0955021e-11","3.5284799e-08","9.3056549e-09","8.8778612e-10","1.9909482e-09","2.2390041e-10","2.6400558e-11","4.9982385e-09","8.2121072e-10","7.3486678e-11","1.9787674e-10","1.5866498e-11","1.3396384e-12","0.083649207","0.0073452763","0.00093867601","0.0076967039","9.7104685e-05","6.3492452e-06","0.0013955373","0.0003691687","7.4506113e-05","2.0862678e-05","6.1464551e-06","1.7117434e-06","0.0092187853","0.0019378545999999997","0.00020147111","0.0018883077","2.2134847e-05","1.1546026e-05","0.0898215","0.014419345","0.0019207972999999998","0.020949736","0.00021185403","2.6659864e-05","37.706218","3.3829044999999995","0.5531072100000001","1.52083075","0.159745308","0.0456606866","14.65768","6.62714","1.200369","2.123402","0.084792634","0.0060108197","2.6548397","0.14420918","0.23745506","0.011422016","0.030850233","0.00034473366","84.630141","217.83092","5.5934674","5.3279753","1.6684715","0.0061879459","7.015867e-05","1.499394e-05","1.0434052e-06","8.9931172e-07","4.6033748e-07","2.009424e-09","2.99","3.51","1.32","4.33","2.79","vG FJ0L-DcZBFCJ19PC0R","1","818590"
"11023","11023","aides culinaires et ingrédients divers","herbes","Ail séché, poudre","Garlic, powder, dried","0.033497803","0","0.050343669","0.015192236999999999","0.0044793367","0","0.067956418","0","0.47782284","0.18881905","0.01567597","0","9.5350298e-09","0","6.7750847e-08","4.3998393e-08","1.648986e-09","0","0.034452358","0","0.05328769","0.014892766","0.069636646","0","0.00036374942","0","0.0020115895","0.00052293599","3.7902398e-05","0","6.4451219e-09","0","6.0230476e-08","1.5229577e-08","7.2358388e-10","0","3.2976462e-09","0","4.1615821e-09","1.6269747e-09","1.9577853e-10","0","1.5172155e-10","0","1.9843263e-10","7.1153328e-11","1.3055635e-11","0","0.0010340414","0","0.0045130621","0.00062484984","7.4499442e-05","0","3.0385903e-05","0","7.7328017e-05","1.2704745e-05","4.2269221e-06","0","0.0015641156","0","0.00066558335","0.00013264355","1.624631e-05","0","0.0036895894","0","0.0075128455","0.0014497724","0.00013264803","0","2.22256409","0","2.4740642499999996","0.90469149","0.07121147","0","13.532639","0","4.9148378","1.9898816","0.071636846","0","2.4447405","0","0.10212439","0.0094821784","0.029416328","0","1.2794239","0","6.9527313","2.87878","1.5906692","0","2.0733746e-06","0","3.4641284e-06","6.7056824e-07","4.3967784e-07","0","4.11","4.27","4.39","2.79","5","2ONZSShMmBKTvtLU-EdE1","2","875314"
"11000","11000","aides culinaires et ingrédients divers","herbes","Ail, cru","Garlic, fresh","0.041872254000000005","0","0","0.013993261","0.0055991708999999995","0.0031873654","0.084945522","0","0","0.17315136","0.019594963","0.080351049","1.1918787e-08","0","0","4.0283425e-08","2.0612325e-09","5.7653888e-10","0.043065447","0","0","0.013680167","0.087045808","0.00017935044","0.00045468677","0","0","0.00049727398","4.7377998e-05","8.1531075e-05","8.0564024e-09","0","0","1.3914411e-08","9.0447985e-10","5.7355308e-10","4.1220578e-09","0","0","1.4860625e-09","2.4472316e-10","2.1340451e-10","1.8965194e-10","0","0","6.5678321e-11","1.6319544e-11","1.0828744e-11","0.0012925518","0","0","0.00059864157","9.3124302e-05","5.1323065e-05","3.7982379e-05","0","0","1.1730892e-05","5.2836526e-06","1.3836593e-05","0.0019551445","0","0","0.00012802069","2.0307887e-05","9.3330378e-05","0.0046119867","0","0","0.0014002739","0.00016581003","0.00021550056","2.77820514","0","0","0.82833992","0.089014338","0.36909055","16.915798","0","0","1.817271","0.089546057","0.048587459","3.0559256","0","0","0.0086629332","0.03677041","0.0027865971","1.5992799","0","0","2.637749","1.9883365","0.05001923","2.5917182e-06","0","0","6.1356241e-07","5.4959731e-07","1.6242844e-08","3.54","2.74","4.28","2.8","4.34","RYfLdW24a3XLqz QK2TAS","3","355320"
"11093","11093","aides culinaires et ingrédients divers","herbes","Aneth, frais","Dill, fresh","0.08277726","0","0.027078351","0.012938412000000002","0.0055991708999999995","0.0031873654","0.22186656","0","0.32904319","0.16258027","0.019594963","0.080351049","1.4262439e-08","0","7.8826074e-09","3.7905474e-08","2.0612325e-09","5.7653888e-10","0.0080995599","0","0.033092285","0.012924714","0.087045808","0.00017935044","0.0011247482","0","0.00089742482","0.00040742282","4.7377998e-05","8.1531075e-05","4.5612811e-08","0","8.6670657e-09","1.3209291e-08","9.0447985e-10","5.7355308e-10","6.8884694e-09","0","9.8099606e-10","1.4123966e-09","2.4472316e-10","2.1340451e-10","4.1735855e-10","0","8.1138329e-11","6.1112526e-11","1.6319544e-11","1.0828744e-11","0.006456659","0","0.0010359321","0.00047500056","9.3124302e-05","5.1323065e-05","9.101316e-05","0","8.2134133e-05","1.1165537e-05","5.2836526e-06","1.3836593e-05","0.0036141871","0","0.0002237708","9.8803681e-05","2.0307887e-05","9.3330378e-05","0.027599986","0","0.0021237392","0.0010764117","0.00016581003","0.00021550056","3.6830430200000004","0","0.6116996800000001","0.7819844100000001","0.089014338","0.36909055","33.093952","0","1.3239403","1.7328077","0.089546057","0.048587459","4.9807631","0","0.26175691","0.0082577542","0.03677041","0.0027865971","1.8648139","0","6.1663413","2.4835978","1.9883365","0.05001923","2.4799896e-06","0","1.150324e-06","5.8267086e-07","5.4959731e-07","1.6242844e-08","3.75","2.74","3.62","4.33","4.33","zcLu-6l27FFCWZHzwPQoK","4","7565"
"20995","20995","aides culinaires et ingrédients divers","algues","Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrate...","0.65063255","0.49968213","0.024314853","0.04606386899999999","0.0049376335","0.00039431325","4.5528129","1.4896054","0.28987796","0.38352982","0.020039066","0.0099403359","7.6777591e-07","1.5900022e-07","7.1425768e-09","8.1257897e-08","1.899133e-09","7.1324398e-11","0.93885018","9.982356","0.030019486","0.02665928","0.07211511","2.2187683e-05","0.028507867","0.003942796","0.0008125936","0.005549621","5.2372611e-05","1.0086319e-05","6.0554345e-07","8.2715577e-08","7.8561156e-09","2.0164364e-08","9.3823808e-10","7.0955021e-11","3.5284799e-08","9.3056549e-09","8.8778612e-10","1.9909482e-09","2.2390041e-10","2.6400558e-11","4.9982385e-09","8.2121072e-10","7.3486678e-11","1.9787674e-10","1.5866498e-11","1.3396384e-12","0.083649207","0.0073452763","0.00093867601","0.0076967039","9.7104685e-05","6.3492452e-06","0.0013955373","0.0003691687","7.4506113e-05","2.0862678e-05","6.1464551e-06","1.7117434e-06","0.0092187853","0.0019378545999999997","0.00020147111","0.0018883077","2.2134847e-05","1.1546026e-05","0.0898215","0.014419345","0.0019207972999999998","0.020949736","0.00021185403","2.6659864e-05","37.706218","3.3829044999999995","0.5531072100000001","1.52083075","0.159745308","0.0456606866","14.65768","6.62714","1.200369","2.123402","0.084792634","0.0060108197","2.6548397","0.14420918","0.23745506","0.011422016","0.030850233","0.00034473366","84.630141","217.83092","5.5934674","5.3279753","1.6684715","0.0061879459","7.015867e-05","1.499394e-05","1.0434052e-06","8.9931172e-07","4.6033748e-07","2.009424e-09","2.99","3.51","1.32","4.33","2.79","AGxCY3vI3nCSaXCvIQp1F","5","938918"
"20998","20998","aides culinaires et ingrédients divers","algues","Ascophylle noueux ou goémon noir (Ascophyllum nodo...","North Atlantic rockweed (Ascophyllum nodosum), dri...","0.65063255","0.49968213","0.024314853","0.019529643000000003","0.0049376335","0.00039431325","4.5528129","1.4896054","0.28987796","0.19846866","0.020039066","0.0099403359","7.6777591e-07","1.5900022e-07","7.1425768e-09","4.447453e-08","1.899133e-09","7.1324398e-11","0.93885018","9.982356","0.030019486","0.014627818","0.07211511","2.2187683e-05","0.028507867","0.003942796","0.0008125936","0.0016048816","5.2372611e-05","1.0086319e-05","6.0554345e-07","8.2715577e-08","7.8561156e-09","1.3445685e-08","9.3823808e-10","7.0955021e-11","3.5284799e-08","9.3056549e-09","8.8778612e-10","1.4014486e-09","2.2390041e-10","2.6400558e-11","4.9982385e-09","8.2121072e-10","7.3486678e-11","8.6450086e-11","1.5866498e-11","1.3396384e-12","0.083649207","0.0073452763","0.00093867601","0.0021748618","9.7104685e-05","6.3492452e-06","0.0013955373","0.0003691687","7.4506113e-05","1.1720032e-05","6.1464551e-06","1.7117434e-06","0.0092187853","0.0019378546","0.00020147111","0.00051988516","2.2134847e-05","1.1546026e-05","0.0898215","0.014419345","0.0019207973","0.0057569673","0.00021185403","2.6659864e-05","37.706218","3.3829044999999995","0.5531072100000001","0.87582056","0.159745308","0.0456606866","14.65768","6.62714","1.200369","1.6365905","0.084792634","0.0060108197","2.6548397","0.14420918","0.23745506","0.0080222521","0.030850233","0.00034473366","84.630141","217.83092","5.5934674","2.9030883","1.6684715","0.0061879459","7.015867e-05","1.499394e-05","1.0434052e-06","5.9303514e-07","4.6033748e-07","2.009424e-09","2.99","3.51","1.32","4.33","2.79","mZZdM6x7LKlv6uE RUXFP","6","46566"
"37000","37000","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza à la crème","cream sauce for pizza base","0.13062335","0.061777217","0.010899593","0.009180178","0.004789504500000001","0","1.4196666","0.29586313","0.10977533","0.11576143","0.019437894","0","2.9786793e-08","3.1683369e-08","1.3370811e-08","2.7096248e-08","1.842159e-09","0","0.049741388","0.58831575","0.012062298","0.0090891336","0.069951657","0","0.0022506738","0.00078937345","0.00038477114","0.00028270838","5.0801432e-05","0","1.085689e-07","1.6835949e-08","8.5536799e-09","9.4141605e-09","9.1009093e-10","0","1.8533483e-08","7.9024707e-09","8.0781251e-10","1.0086277e-09","2.1718339e-10","0","7.8420888e-10","3.8380552e-10","5.5121465e-11","4.2833368e-11","1.5390503e-11","0","0.016199629","0.0021173037","0.00053948072","0.00033205629","9.4191544e-05","0","0.00015312965","9.3506447e-05","4.9435382e-05","7.64468e-06","5.9620615e-06","0","0.0052383553","0.0010905738","0.00028678358","6.7543463e-05","2.1470801e-05","0","0.070633631","0.0057107532","0.0017533","0.00073630125","0.00020549841","0","15.9733372","1.8229407800000001","0.73324752","0.55708059","0.15495294999999998","0","84.99486","4.0097361","4.6728045","1.2343403","0.082248855","0","0.4588854","-0.12376139","0.036533704","0.0058337876","0.029924726","0","2.9289493","15.376407","1.4944396","1.7690354","1.6184174","0","2.9712859e-06","1.2501263e-05","5.1238783e-07","4.1384322e-07","4.4652735e-07","0","2.89","2.99","2.76","3.19","2.62"," fIo GtWtUwuxP6nJ8-qs","7","806723"
"37002","37002","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza tomatée","Tomato sauce for pizza base","0.082198081","0.03264188","0.010899593","0.015810663","0.0047895045","0","0.23113782","0.16771351","0.10977533","0.19020392","0.019437894","0","3.5891116e-08","1.7759911e-08","1.3370811e-08","4.3682567e-08","1.842159e-09","0","0.045943289","0.42709811","0.012062298","0.015415712999999998","0.069951657","0","0.0013914213","0.00040761881","0.00038477114","0.00066355432","5.0801432e-05","0","3.7856172e-08","9.7731367e-09","8.5536799e-09","1.5077806e-08","9.1009093e-10","0","3.1330261e-08","4.2363353e-09","8.0781251e-10","1.5976559e-09","2.1718339e-10","0","7.3437317e-10","1.1254364e-10","5.5121465e-11","7.5942929e-11","1.5390503e-11","0","0.0052741057","0.0012778647","0.00053948072","0.00081175931","9.4191544e-05","0","7.9289761e-05","3.0825309e-05","4.9435382e-05","1.4006046e-05","5.9620615e-06","0","0.0027307442","0.00095259424","0.00028678358","0.00018339885","2.1470801e-05","0","0.021691958","0.0045452166","0.0017533","0.0020097979","0.00020549841","0","7.078598899999999","1.00720458","0.73324752","0.90339006","0.15495294999999998","0","54.087817","3.0272592","4.6728045","1.9544975","0.082248855","0","3.69946","0.07684339","0.036533704","0.0095519205","0.029924726","0","4.884016","10.494809","1.4944396","2.8858445","1.6184174","0","4.349775e-06","9.9879125e-07","5.1238783e-07","6.6996214e-07","4.4652735e-07","0","3.19","2.74","3.27","2.25","4.52","5dPRIF72eK4wNdmvfK7AO","8","335670"
"11033","11033","aides culinaires et ingrédients divers","herbes","Basilic, frais","Basil, fresh","0.08277726","0","0.027078351","0.012938412000000002","0.0055991708999999995","0.0031873654","0.22186656","0","0.32904319","0.16258027","0.019594963","0.080351049","1.4262439e-08","0","7.8826074e-09","3.7905474e-08","2.0612325e-09","5.7653888e-10","0.0080995599","0","0.033092285","0.012924714","0.087045808","0.00017935044","0.0011247482","0","0.00089742482","0.00040742282","4.7377998e-05","8.1531075e-05","4.5612811e-08","0","8.6670657e-09","1.3209291e-08","9.0447985e-10","5.7355308e-10","6.8884694e-09","0","9.8099606e-10","1.4123966e-09","2.4472316e-10","2.1340451e-10","4.1735855e-10","0","8.1138329e-11","6.1112526e-11","1.6319544e-11","1.0828744e-11","0.006456659","0","0.0010359321","0.00047500056","9.3124302e-05","5.1323065e-05","9.101316e-05","0","8.2134133e-05","1.1165537e-05","5.2836526e-06","1.3836593e-05","0.0036141871","0","0.0002237708","9.8803681e-05","2.0307887e-05","9.3330378e-05","0.027599986","0","0.0021237392","0.0010764117","0.00016581003","0.00021550056","3.6830430200000004","0","0.6116996800000001","0.7819844100000001","0.089014338","0.36909055","33.093952","0","1.3239403","1.7328077","0.089546057","0.048587459","4.9807631","0","0.26175691","0.0082577542","0.03677041","0.0027865971","1.8648139","0","6.1663413","2.4835978","1.9883365","0.05001923","2.4799896e-06","0","1.150324e-06","5.8267086e-07","5.4959731e-07","1.6242844e-08","3.75","2.74","3.62","4.33","4.33","gVziYS7nr4SJjZRJbkIGI","9","559722"
"11032","11032","aides culinaires et ingrédients divers","herbes","Basilic, séché","Basil, dried","0.32846017","0","0.050343669","0.013948595","0.0044793367","0","0.88036653","0","0.47782284","0.17533238","0.01567597","0","5.6593359e-08","0","6.7750847e-08","4.0918867e-08","1.648986e-09","0","0.032139054","0","0.05328769","0.01389354","0.069636646","0","0.004463001","0","0.0020115895","0.00043854338","3.7902398e-05","0","1.8099163e-07","0","6.0230476e-08","1.4255676e-08","7.2358388e-10","0","2.7333446e-08","0","4.1615821e-09","1.5242295e-09","1.9577853e-10","0","1.6560787e-09","0","1.9843263e-10","6.5639624e-11","1.3055635e-11","0","0.025620023","0","0.0045130621","0.00051134338","7.4499442e-05","0","0.00036114022","0","7.7328017e-05","1.1920458e-05","4.2269221e-06","0","0.014341094","0","0.00066558335","0.00010624724","1.624631e-05","0","0.10951674","0","0.0075128455","0.0011577273","0.00013264803","0","14.614314700000001","0","2.4740642499999996","0.8434051100000001","0.07121147","0","131.3168","0","4.9148378","1.8687045","0.071636846","0","19.763668","0","0.10212439","0.008902852","0.029416328","0","7.3995817","0","6.9527313","2.678601","1.5906692","0","9.8405988e-06","0","3.4641284e-06","6.2788317e-07","4.3967784e-07","0","3.75","2.74","3.62","4.33","4.33","O-hHAK4qPNL7jPTFkw-GV","10","174603"
