"Ciqual  AGB","Ciqual  code","Groupe d'aliment","Sous-groupe d'aliment","Nom Français","LCI Name","Ingredients","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine   substances non-cancérogènes","Effets toxicologiques sur la santé humaine   substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"," id"," i"," rand"
"37000","37000","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza à la crème","cream sauce for pizza base","Fromage frais crémeux","0.16121408","1.5623058","4.4283992e-08","0.2133064","0.0026644992","1.1613884e-07","2.2276066e-08","1.060761e-09","0.017121739","0.00021945029","0.0054044341","0.072063567","17.0407004","86.028631","0.30535146","7.9179679","1.4525079e-05","6zSO8QZaML-gN4W6DRILO","1","634341"
"37000","37000","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza à la crème","cream sauce for pizza base","Autres étapes","0.05636717000000001","0.39819866","5.9495388e-08","0.515853829","0.00109382906","2.81439436e-08","6.1935114000000005e-09","2.205987e-10","0.0021609221600000002","9.0227932e-05","0.0013002928","0.0069759166","2.20085771","8.9653581","0.14403169","15.2692804","2.32022854e-06","Xa1ULHT-5G-7fmqqDJ2d6","2","63693"
"37002","37002","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza tomatée","Tomato sauce for pizza base","Huile d'olive","0.047562891","0.060536002","1.7630302e-08","0.011424039","0.00089049517","2.6415954e-08","1.9975525e-08","4.1083701e-10","0.0037725052","5.1652326e-05","0.0017387606","0.015761633","5.5453265","57.072861","1.9449399","1.7206826","1.8933753e-06","9co8Qv-7obb3ka7DDQS6R","3","600130"
"37002","37002","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza tomatée","Tomato sauce for pizza base","Oignons","0.0028053727","0.0099455619","1.4308056e-09","0.0024453698","4.5886185e-05","8.803709e-10","3.0360405e-10","1.3342069e-11","0.00011259197","2.8187093e-06","0.00012881008","0.00041323048","0.23186538","1.0147093","0.16918972","0.13994008","1.5453559e-07","DCSlrDFP4axDJsaAC SEG","4","187563"
"37002","37002","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza tomatée","Tomato sauce for pizza base","Tomate","0.039681234","0.24961395","3.3988172e-08","0.040745415","0.00086786387","1.6730774e-08","1.1715944e-08","3.4853721e-10","0.0019514335","3.4829113e-05","0.0010069699","0.0070553524","1.89805545","-3.239036","1.6047508","4.247392","2.6089528e-06","eshHr0KGbRul03pfQ4SM0","5","260246"
"37002","37002","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza tomatée","Tomato sauce for pizza base","Autres étapes","0.05636717000000001","0.39819866","5.9495388e-08","0.515853829","0.00109382906","2.81439436e-08","6.1935114000000005e-09","2.205987e-10","0.0021609221600000002","9.0227932e-05","0.0013002928","0.0069759166","2.20085771","8.9653581","0.14403169","15.2692804","2.32022854e-06","Zl rRxQzmMLJ3hhIuvzn4","6","210724"
"11172","11172","aides culinaires et ingrédients divers","aides culinaires","Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated","Carotte","0.044818826000000006","0.16160164","2.1479843e-08","0.038763642","0.0006439766","1.3479875e-08","8.4182049e-09","1.9058801e-10","0.0016989271","4.2717361e-05","0.0013653128","0.0052544491","20.1450159","9.6538875","2.3000179","2.3767463","1.6283407e-06","y6kGDWtpwKdw6f0CXgxqb","7","475945"
"11172","11172","aides culinaires et ingrédients divers","aides culinaires","Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated","Poireau","0.076439666","0.49926697","5.0540162e-08","0.055261843","0.0021563352","6.2877827e-08","3.6621789e-08","4.5194208e-10","0.0055150122","4.6644683e-05","0.0023833151","0.035625912","12.0489134","11.783354","1.7211446","4.1061419","2.2952438e-06","r6LQDBi5a1062ubqfT9JZ","8","279276"
"11172","11172","aides culinaires et ingrédients divers","aides culinaires","Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated","Oignons","0.045690589999999996","0.16198154","2.3303268e-08","0.03982729","0.00074733988","1.4338439e-08","4.9447436e-09","2.1729983e-10","0.0018337648","4.5907801e-05","0.0020979061","0.0067302091","3.7763489999999997","16.526384","2.7555619","2.2791784","2.5168928e-06","lx-Jz5HE13aWZqFetPULM","9","927882"
"11172","11172","aides culinaires et ingrédients divers","aides culinaires","Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated","Autres étapes","1.90261462","8.5712552","7.646541999999999e-07","30.2394538","0.0245817306","4.9497106e-07","1.1162224099999999e-07","5.9531604e-09","0.060895298","0.0026867884500000002","0.024107424399999997","0.14005343199999998","27.7443776","74.3604","2.40311726","701.9048","5.3668625999999994e-05","Qx3vClb7pf0K1XErscPxd","10","291118"
