"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","code saison","code avion","Livraison","Matériau d'emballage","Préparation","DQR","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine   substances non-cancérogènes","Effets toxicologiques sur la santé humaine   substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"," id"," i"," rand"
"11084","11084","aides culinaires et ingrédients divers","algues","Agar (algue), cru","Seaweed, agar, raw","2","False","Ambiant (long)","LDPE","Pas de préparation","2.99","1.2260253","6.7458055","1.0171471e-06","11.050022","0.038875337","7.172887e-07","4.771949e-08","6.1080188e-09","0.099733317","0.001867933","0.0132801","0.12734989","43.368466","24.699395","3.0791209","315.05717","8.7557674e-05","Ctg28H2NpEzvxsBYRK5ls","1","813363"
"11023","11023","aides culinaires et ingrédients divers","herbes","Ail séché, poudre","Garlic, powder, dried","2","False","Ambiant (long)","Verre","Pas de préparation","4.11","0.10351305","0.75027428","1.2293325e-07","0.17226946","0.0029361773","8.2628759e-08","9.2819816e-09","4.3436315e-10","0.0062464528","0.00012464559","0.0023785888","0.012784855","5.6725313","20.508995","2.5857634","12.701604","6.647749e-06","XjV5Nz2SOQ SDULQa1alk","2","327490"
"11000","11000","aides culinaires et ingrédients divers","herbes","Ail, cru","Garlic, fresh","2","False","Ambiant (long)","Pas d'emballage","Pas de préparation","3.54","0.064652051","0.3580429","5.4839983e-08","0.14397077","0.0010808698","2.3448846e-08","6.066248e-09","2.8247855e-10","0.0020356407","6.8833516e-05","0.0021968034","0.0063935712","4.06465","18.871203","3.1041456","6.2753846","3.7711208e-06","cOeZvVMs9WbIeOa45P EQ","3","676029"
"11093","11093","aides culinaires et ingrédients divers","herbes","Aneth, frais","Dill, fresh","2","False","Ambiant (long)","LDPE","Pas de préparation","3.75","0.13158055999999999","0.81343604","6.2688292e-08","0.14134172","0.0025585049","6.8967201e-08","9.7399896e-09","5.867577e-10","0.008112039","0.00020343308","0.0040503998","0.031181447","5.534832","36.288833","5.2903347","12.553109","4.7788247e-06","aTN1U bVGYd4DfazIgisn","4","348384"
"20995","20995","aides culinaires et ingrédients divers","algues","Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrate...","2","False","Ambiant (long)","LDPE","Pas de préparation","2.99","1.2260253","6.7458055","1.0171471e-06","11.050022","0.038875337","7.172887e-07","4.771949e-08","6.1080188e-09","0.099733317","0.001867933","0.0132801","0.12734989","43.368466","24.699395","3.0791209","315.05717","8.7557674e-05","iqSnjIrn2WsQSadmHqAFd","5","95211"
"20998","20998","aides culinaires et ingrédients divers","algues","Ascophylle noueux ou goémon noir (Ascophyllum nodo...","North Atlantic rockweed (Ascophyllum nodosum), dri...","2","False","Ambiant (long)","LDPE","Pas de préparation","2.99","1.1994911000000001","6.5607443","9.8036369e-07","11.037991","0.034930597","7.1057002e-07","4.712999e-08","5.9965921e-09","0.094211475","0.0018587903","0.011911677","0.11215712","42.723457","24.212583","3.0757212","312.63228","8.7251397e-05","ga68ihtVFBFfKDqGz7r1v","6","95853"
"37000","37000","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza à la crème","cream sauce for pizza base","2","False","Ambiant (long)","Carton","Pas de préparation","2.89","0.21758125","1.9605044","1.0377938e-07","0.72916023","0.0037583282","1.4428278e-07","2.8469578e-08","1.2813597e-09","0.019282661","0.00030967822","0.0067047269","0.079039484","19.241559","94.993989","0.44938315","23.187248","1.6845308e-05","yz3DcEcCdb bIm6kXvjWT","7","248418"
"37002","37002","aides culinaires et ingrédients divers","ingrédients divers","Base de pizza tomatée","Tomato sauce for pizza base","2","False","Ambiant (long)","Carton","Pas de préparation","3.19","0.14641667","0.71829418","1.1254467e-07","0.57046865","0.0028980743","7.2171042e-08","3.8188584e-08","9.9331499e-10","0.0079974529","0.00017952808","0.0041748333","0.030206132","9.876105","63.813893","3.8629121","21.377295","6.9770922e-06","VCMqLoBqzUCXtkSG8CwK ","8","563303"
"11033","11033","aides culinaires et ingrédients divers","herbes","Basilic, frais","Basil, fresh","2","False","Ambiant (long)","LDPE","Pas de préparation","3.75","0.13158055999999999","0.81343604","6.2688292e-08","0.14134172","0.0025585049","6.8967201e-08","9.7399896e-09","5.867577e-10","0.008112039","0.00020343308","0.0040503998","0.031181447","5.534832","36.288833","5.2903347","12.553109","4.7788247e-06","JHBRs4GUVCqYxIuVN4B7z","9","702220"
"11032","11032","aides culinaires et ingrédients divers","herbes","Basilic, séché","Basil, dried","2","False","Ambiant (long)","Verre","Pas de préparation","3.75","0.39723177000000004","1.5491977","1.6691206e-07","0.16895693","0.0069510362","2.5620137e-07","3.3215037e-08","1.9332066e-09","0.030718928","0.00045461562","0.015129171","0.11831996","18.0029957","138.17198","19.904111","18.621583","1.4372288e-05","d2myhd4Ss5H51d6FT4raK","10","211990"
"11507","11507","aides culinaires et ingrédients divers","ingrédients divers","Bicarbonate de soude","Sodium bicarbonate","2","False","Ambiant (long)","Carton","Pas de préparation","2.97","0.22008005","1.1266035","9.0598553e-08","0.16940943","0.0037802292","1.2008695e-07","1.9978728e-08","1.3113266e-09","0.015277217","0.00059775392","0.0015590271","0.042208513","83.365663","15.85768","2.0136547","14.722475","4.8330416e-05","ydP y-uWZXwfiPjshxwGj","11","843745"
"11025","11025","aides culinaires et ingrédients divers","épices","Cannelle, poudre","Cinnamon, powder","2","False","Ambiant (long)","Verre","Pas de préparation","3.37","1.3171905","8.1468674","6.7898987e-07","0.79847504","0.034140907","1.2873914e-06","7.4116387e-08","3.0905055e-09","0.08881451","0.0014507024","0.069161396","0.55416984","160.56614","696.69007","18.363092","71.837424","0.00011473214","S4 cDhXaUJ0VMPlpm7ewV","12","968707"
"11075","11075","aides culinaires et ingrédients divers","épices","Cardamome, poudre","Cardamom, powder","2","False","Ambiant (long)","Verre","Pas de préparation","4.31","1.3171905","8.1468674","6.7898987e-07","0.79847504","0.034140907","1.2873914e-06","7.4116387e-08","3.0905055e-09","0.08881451","0.0014507024","0.069161396","0.55416984","160.56614","696.69007","18.363092","71.837424","0.00011473214","6zup5edUtZOxB9dI5oUQU","13","456809"
"11064","11064","aides culinaires et ingrédients divers","épices","Carvi, graine","Caraway, seed","2","False","Ambiant (long)","Verre","Pas de préparation","3.95","1.3171905","8.1468674","6.7898987e-07","0.79847504","0.034140907","1.2873914e-06","7.4116387e-08","3.0905055e-09","0.08881451","0.0014507024","0.069161396","0.55416984","160.56614","696.69007","18.363092","71.837424","0.00011473214","2bW eqaRPH0CFm6XdKq8J","14","249832"
"11002","11002","aides culinaires et ingrédients divers","herbes","Cerfeuil, frais","Chervil, fresh","2","False","Ambiant (long)","LDPE","Pas de préparation","3.95","0.13158055999999999","0.81343604","6.2688292e-08","0.14134172","0.0025585049","6.8967201e-08","9.7399896e-09","5.867577e-10","0.008112039","0.00020343308","0.0040503998","0.031181447","5.534832","36.288833","5.2903347","12.553109","4.7788247e-06","mCHGeljmIa2BpO76AsnFQ","15","941961"
"11003","11003","aides culinaires et ingrédients divers","herbes","Ciboule ou Ciboulette, fraîche","Chive or spring onion, fresh","2","False","Ambiant (long)","LDPE","Pas de préparation","3.75","0.090675554","0.676515","6.034464e-08","0.1763076","0.0018884435","3.1410792e-08","6.9735781e-09","3.5905109e-10","0.0029479318","0.00015040229","0.0023913572","0.0081934483","4.6299942000000005","20.11068","3.3654973","12.287575","4.8905532e-06","SdvbP1rGZEFxBAiTNg7Zc","16","224986"
"11052","11052","aides culinaires et ingrédients divers","épices","Clou de girofle","Cloves","2","False","Ambiant (long)","Verre","Pas de préparation","3.56","1.3159399","8.1393619","6.7841491e-07","0.7978111","0.034109178","1.286177e-06","7.4047916e-08","3.0876812e-09","0.088730708","0.001449343","0.069093004","0.55362427","160.40883200000002","695.99995","18.344868","71.776391","0.00011462185","P17CbCoioMPMa5uobnKsh","17","29157"
